名前,平均順位,局収支,安定段位,安定レート,和了率,和了素点,和了巡目,放銃率,放銃素点,放銃巡目,立直率,立直巡目,立直成功率,副露率,副露巡目,流局聴牌率
等々力劇場,2.569,-51.256,6.042,2058.562,0.183,6359.408,10.895,0.106,5137.868,11.043,0.191,9.183,0.467,0.241,5.654,0.356
†まー坊†,2.435,84.127,8.542,2223.365,0.208,5836.749,10.735,0.112,4847.099,10.659,0.188,8.73,0.48,0.33,6.161,0.438
駄妹,2.495,18.695,7.198,2135.242,0.216,5355.571,10.54,0.12,4860.625,10.592,0.159,8.809,0.493,0.396,5.696,0.427
モイヒャン,2.535,-50.609,6.413,2102.809,0.204,5860.953,10.777,0.126,4973.759,10.946,0.185,9.04,0.466,0.283,5.95,0.392
fanstep,2.484,40.672,7.005,2168.244,0.214,6029.665,10.968,0.136,5003.694,10.972,0.164,9.004,0.496,0.312,6.137,0.461
独歩,2.413,85.628,8.753,2238.135,0.222,5600.195,10.807,0.13,4955.709,10.843,0.158,8.677,0.497,0.359,5.926,0.485
しみs,2.461,54.975,7.846,2191.923,0.218,5630.218,10.673,0.117,4988.652,10.761,0.176,9.014,0.489,0.334,5.366,0.41
takuaka,2.459,35.164,7.895,2188.826,0.217,5561.236,10.572,0.12,4957.915,10.571,0.193,8.828,0.473,0.364,5.391,0.441
ギガマイン,2.473,39.725,7.628,2170.306,0.217,5512.707,10.641,0.121,4849.264,10.729,0.185,8.948,0.479,0.332,5.396,0.441
ヘクサー,2.458,31.468,7.671,2184.687,0.209,5667.547,10.685,0.12,4805.067,10.686,0.178,8.823,0.484,0.344,5.922,0.426
お知らせ,2.424,73.022,8.656,2238.437,0.21,5865.469,10.696,0.116,4933.293,10.721,0.198,8.938,0.477,0.298,5.694,0.426
tomutomi,2.545,-16.127,6.006,2082.28,0.221,5641.527,10.9,0.146,4991.835,10.725,0.142,8.813,0.51,0.35,6.062,0.478
ryo…15,2.481,2.388,7.727,2155.323,0.2,5740.553,10.597,0.116,4761.891,10.673,0.155,8.799,0.481,0.323,5.589,0.384
ルタスケ,2.501,-0.053,7.126,2138.807,0.206,5693.583,10.707,0.12,4936.05,10.72,0.165,8.738,0.484,0.359,5.864,0.415
天鼓,2.43,68.298,8.804,2219.747,0.213,5476.141,10.621,0.112,4766.476,10.557,0.157,8.826,0.511,0.352,6.132,0.444
タケオしゃん,2.412,79.468,8.94,2246.556,0.216,5606.807,10.731,0.118,4780.333,10.705,0.151,8.886,0.504,0.339,5.669,0.413
どいーん,2.514,-34.972,6.458,2121.626,0.217,5645.749,10.872,0.143,4973.494,10.789,0.161,9.197,0.472,0.295,6.179,0.475
ゆいちゃんのパパ,2.45,62.967,8.446,2200.043,0.209,5662.846,10.73,0.111,4812.104,10.754,0.17,8.851,0.478,0.339,6.025,0.42
いなしん。,2.481,17.472,7.353,2165.276,0.227,5569.804,10.762,0.141,5114.439,10.705,0.172,8.959,0.486,0.412,5.55,0.51
白鹿愛莉,2.443,40.241,8.183,2215.941,0.224,5381.17,10.579,0.123,4983.606,10.713,0.181,8.656,0.486,0.39,5.437,0.476
衛藤美彩,2.511,-25.951,6.682,2136.408,0.217,5772.619,10.803,0.14,5083.813,10.761,0.187,8.999,0.48,0.341,5.651,0.489
へむへむ２号,2.488,-9.29,7.476,2159.709,0.217,5481.761,10.641,0.123,5058.582,10.78,0.168,8.691,0.499,0.35,5.549,0.453
俺TUEEEEE,2.443,69.55,8.362,2213.648,0.215,5689.961,10.652,0.114,4929.417,10.692,0.186,8.717,0.477,0.333,5.598,0.417
上段青テン,2.484,40.562,7.712,2156.512,0.211,5628.234,10.659,0.119,4798.512,10.803,0.156,8.697,0.487,0.326,5.914,0.427
リーチ１,2.467,61.913,7.666,2166.631,0.22,5445.311,10.664,0.125,4829.721,10.694,0.158,8.582,0.505,0.351,5.517,0.461
KEN-OGAS,2.492,5.625,6.927,2154.525,0.219,5890.039,10.94,0.144,5155.088,10.866,0.186,9.011,0.478,0.344,6.223,0.518
ラッキードッグ,2.536,-48.637,6.515,2080.939,0.206,5661.675,10.607,0.132,4919.427,10.668,0.164,8.683,0.479,0.35,5.419,0.421
