名前,平均順位,局収支,安定段位,安定レート,和了率,和了素点,和了巡目,放銃率,放銃素点,放銃巡目,立直率,立直巡目,立直成功率,副露率,副露巡目,流局聴牌率
スナック瞳,2.495,-14.483,7.374,2154.595,0.201,5694.937,10.676,0.11,4950.41,10.722,0.141,8.806,0.499,0.321,6.064,0.395
Mr.niku9,2.468,28.565,7.812,2169.629,0.222,5289.507,10.446,0.125,4819.662,10.623,0.164,8.555,0.486,0.399,5.228,0.44
公務員くん,2.492,-10.742,7.01,2148.969,0.214,5869.26,10.824,0.139,5052.672,10.75,0.184,9.039,0.473,0.374,5.517,0.491
okjm,2.484,25.595,7.209,2167.77,0.217,5718.367,10.695,0.122,4979.199,10.722,0.183,9.228,0.477,0.312,5.534,0.405
きます,2.502,-17.565,7.071,2125.375,0.199,5735.235,10.671,0.114,4852.606,10.732,0.168,8.738,0.482,0.311,5.157,0.396
般卓民の朝は早い,2.448,56.462,7.961,2206.501,0.217,5721.624,10.736,0.122,5078.805,10.717,0.171,8.843,0.484,0.35,5.921,0.435
おおくさ,2.498,9.308,7.186,2147.83,0.205,5624.155,10.63,0.109,4988.426,10.687,0.159,8.603,0.499,0.3,5.794,0.386
ビスクドール,2.471,20.23,7.676,2173.793,0.208,5711.997,10.618,0.117,4992.601,10.611,0.149,8.929,0.479,0.293,6.068,0.381
てんぽいんと,2.489,6.918,7.257,2153.234,0.205,5798.631,10.691,0.117,5035.526,10.784,0.178,8.803,0.466,0.361,5.737,0.436
anlun,2.542,-43.494,6.341,2093.88,0.215,5290.715,10.638,0.125,5046.612,10.798,0.126,8.877,0.495,0.383,6.179,0.478
げっち,2.512,-8.76,6.867,2119.189,0.206,5614.65,10.652,0.115,4853.71,10.618,0.184,8.715,0.488,0.32,5.262,0.386
Jet.B,2.517,-18.184,7.111,2124.887,0.199,5705.63,10.635,0.108,4946.079,10.656,0.155,8.723,0.5,0.357,6.011,0.379
隠止,2.509,-12.804,7.025,2130.528,0.21,5642.857,10.688,0.116,5024.942,10.705,0.166,8.715,0.489,0.322,6.031,0.386
まおらん,2.505,21.001,6.951,2117.52,0.215,5411.743,10.682,0.123,4799.502,10.786,0.153,8.815,0.497,0.384,5.833,0.447
時を刻む唄,2.451,33.279,7.994,2200.465,0.215,5549.655,10.556,0.115,4957.453,10.643,0.173,8.664,0.481,0.342,5.645,0.4
眼科医,2.521,-14.204,6.631,2115.293,0.204,5982.551,10.787,0.123,5063.154,10.936,0.194,9.071,0.472,0.306,6.165,0.435
シャーリプトラ,2.468,44.814,7.378,2177.954,0.216,5710.711,10.804,0.131,4930.043,10.7,0.173,8.54,0.499,0.389,6.139,0.511
31jin,2.445,26.44,8.03,2204.404,0.224,5371.422,10.581,0.129,4929.161,10.669,0.182,8.642,0.487,0.398,5.501,0.494
ゴッサム,2.533,-47.318,6.549,2102.513,0.204,5742.015,10.718,0.119,5059.23,10.807,0.175,8.902,0.471,0.337,5.527,0.401
（≧▽≦）,2.423,49.858,8.874,2224.497,0.216,5469.415,10.575,0.115,4920.478,10.608,0.174,8.662,0.49,0.392,5.388,0.408
しらいしまい,2.507,-7.619,6.58,2138.094,0.227,5576.258,10.758,0.141,5109.717,10.838,0.194,8.976,0.469,0.357,5.412,0.501
Kanako_,2.553,-49.586,6.198,2074.165,0.216,5543.506,10.769,0.132,5060.57,10.689,0.179,8.836,0.495,0.319,5.589,0.452
niji,2.499,-13.893,7.187,2123.505,0.203,5474.03,10.523,0.111,4756.499,10.654,0.138,8.584,0.488,0.342,5.841,0.372
Redbull,2.452,15.522,8.264,2209.486,0.207,5710.264,10.725,0.113,4934.086,10.79,0.165,8.899,0.476,0.343,5.82,0.411
就活生@川村軍団,2.419,79.385,8.262,2238.441,0.223,5696.361,10.81,0.133,4948.876,10.786,0.17,8.85,0.495,0.344,5.676,0.488
catmeVGC,2.489,8.983,7.049,2156.198,0.221,5785.608,10.814,0.14,5159.624,10.792,0.199,9.029,0.471,0.35,5.684,0.52
bakase,2.46,48.694,7.413,2193.409,0.225,5537.048,10.749,0.135,4956.697,10.906,0.183,8.788,0.483,0.336,5.686,0.513
=園城寺怜=,2.452,58.953,8.755,2198.887,0.194,5887.625,10.802,0.098,4718.61,10.873,0.158,8.81,0.505,0.277,6.563,0.385
mukitti,2.496,22.967,6.913,2140.159,0.232,5262.539,10.403,0.136,4910.073,10.624,0.185,8.619,0.491,0.393,4.816,0.474
Yangnum,2.487,15.49,7.59,2156.888,0.224,5320.311,10.728,0.122,4965.88,10.729,0.132,8.636,0.517,0.316,5.813,0.403
白髪鬼,2.497,30.805,7.079,2150.646,0.215,5747.122,10.756,0.13,4971.98,10.856,0.141,8.748,0.505,0.331,6.347,0.464
無能社会のゴミ,2.464,45.051,7.866,2192.182,0.209,5857.051,10.721,0.115,4969.281,10.843,0.193,8.785,0.484,0.308,5.632,0.421
すみやに,2.44,76.636,8.785,2211.946,0.205,5805.642,10.693,0.109,4666.81,10.707,0.164,8.964,0.494,0.321,6.049,0.375
ねきせ@,2.447,37.094,8.142,2208.05,0.21,5684.145,10.589,0.114,4975.079,10.826,0.174,8.669,0.49,0.365,5.632,0.418
ZZZZZ,2.522,-18.186,6.289,2107.397,0.227,5444.42,10.699,0.146,5008.771,10.775,0.179,9.047,0.47,0.366,5.765,0.494
あいだて,2.503,12.476,7.055,2138.324,0.214,5745.493,10.797,0.131,5036.336,10.807,0.182,9.047,0.477,0.364,5.903,0.475
fm44,2.539,-7.641,6.13,2098.403,0.198,6114.3,10.867,0.115,5017.574,10.971,0.187,8.998,0.482,0.263,5.898,0.408
ごじゃる,2.412,99.391,8.896,2226.439,0.213,5788.474,10.785,0.118,4761.753,10.836,0.165,9.005,0.488,0.32,6.011,0.407
タマネギ,2.451,39.054,8.259,2209.722,0.219,5554.653,10.585,0.119,4998.528,10.722,0.176,8.703,0.478,0.38,5.335,0.451
かにマジン,2.433,99.975,8.396,2217.17,0.221,5635.779,10.609,0.126,4762.552,10.653,0.161,8.793,0.492,0.343,5.699,0.442
倉橋＠事務,2.499,-28.861,6.855,2139.971,0.204,5934.316,10.803,0.129,4990.046,10.826,0.192,8.99,0.472,0.315,5.962,0.448
たんゆう,2.503,-11.186,6.728,2135.89,0.214,5616.673,10.699,0.127,5046.388,10.842,0.149,8.745,0.481,0.348,5.907,0.43
サンマ道楽代表,2.469,80.91,7.195,2172.594,0.216,6049.562,10.962,0.143,4792.101,10.81,0.173,9.037,0.487,0.325,5.904,0.487
まこさとver2,2.453,81.311,7.455,2191.891,0.214,5919.124,10.892,0.136,4824.154,10.748,0.168,9.009,0.486,0.323,5.748,0.503
稲妻ちゃっぴー,2.481,52.482,7.318,2168.974,0.207,6095.949,10.986,0.124,5020.669,10.934,0.17,8.931,0.488,0.268,6.515,0.43
青山学院４年,2.511,-3.952,6.788,2132.08,0.21,5756.221,10.786,0.121,5054.304,10.769,0.188,8.974,0.469,0.332,6.085,0.449
西岡育未♪,2.501,-3.412,7.236,2145.603,0.216,5373.493,10.608,0.116,5093.411,10.693,0.151,8.638,0.499,0.35,5.866,0.456
風車の絵理子,2.489,11.624,7.181,2144.752,0.19,6431.226,11.166,0.125,4813.263,10.813,0.193,9.233,0.469,0.239,6.718,0.413
よるがた,2.489,2.785,6.766,2154.687,0.222,5611.495,10.846,0.147,5037.081,10.814,0.183,9.237,0.469,0.395,6.011,0.583
ふかじ,2.527,-22.738,6.626,2095.805,0.207,5406.855,10.413,0.112,4836.209,10.535,0.164,8.623,0.494,0.342,5.159,0.347
大楠公,2.508,16.032,6.558,2135.031,0.213,5975.091,10.922,0.133,5113.675,10.842,0.194,9.181,0.473,0.288,6.032,0.465
三色同刻☆,2.473,28.677,7.902,2170.571,0.214,5433.435,10.627,0.118,4749.641,10.626,0.151,8.729,0.486,0.386,5.845,0.433
西村雄一郎,2.447,47.644,8.414,2207.318,0.204,5525.83,10.576,0.101,4691.69,10.67,0.151,8.768,0.495,0.319,6.118,0.371
ita-p,2.504,-15.734,7.102,2142.329,0.221,5372.223,10.635,0.126,5082.043,10.767,0.139,8.729,0.501,0.356,5.684,0.453
k_m_b,2.543,-71.62,6.523,2088.171,0.211,5273.598,10.497,0.124,4974.066,10.73,0.147,8.79,0.482,0.378,5.489,0.445
ルアゴイフ,2.481,4.388,7.516,2166.07,0.212,5768.748,10.775,0.127,4979.23,10.644,0.176,8.648,0.5,0.359,5.55,0.422
ねりゴマ,2.538,-74.228,6.217,2076.56,0.206,5494.421,10.589,0.132,4868.083,10.628,0.142,8.901,0.481,0.39,5.579,0.436
taro3900,2.478,40.094,7.82,2162.006,0.215,5455.749,10.532,0.116,4676.731,10.493,0.147,8.852,0.496,0.34,5.472,0.388
うけながした,2.467,31.154,7.779,2187.252,0.201,6191.085,10.902,0.115,5042.26,10.805,0.199,9.173,0.476,0.287,6.243,0.409
おはDポテト,2.5,25.474,6.672,2143.421,0.213,5922.16,10.909,0.133,5115.627,10.741,0.196,8.982,0.472,0.352,6.217,0.48
葵ちゃん,2.487,-14.75,7.421,2165.296,0.211,5600.732,10.577,0.113,5105.998,10.808,0.173,8.79,0.493,0.333,5.586,0.417
げちぇな04,2.508,11.189,6.683,2135.118,0.205,6009.817,10.803,0.123,4943.684,10.806,0.189,8.939,0.472,0.295,6.221,0.421
竹井久＠部長,2.498,41.328,7.242,2144.085,0.216,5673.139,10.627,0.113,5069.982,10.848,0.207,8.813,0.485,0.254,5.849,0.412
もみあげ,2.561,-59.299,6.069,2061.387,0.211,5328.494,10.421,0.117,4884.825,10.631,0.148,8.297,0.504,0.357,5.361,0.381
kojimon9,2.513,4.174,6.687,2121.56,0.212,5818.924,10.69,0.132,5009.564,10.797,0.177,8.76,0.479,0.381,5.844,0.485
リーツモドラウラ,2.501,17.631,7.077,2147.95,0.198,6173.364,10.754,0.119,4929.7,10.865,0.169,9.143,0.48,0.29,5.668,0.4
まるとー,2.514,-6.95,6.807,2122.941,0.218,5483.471,10.574,0.13,4889.864,10.704,0.148,8.553,0.494,0.417,5.467,0.462
確認事項,2.493,1.97,7.421,2137.713,0.198,5553.749,10.484,0.106,4629.315,10.64,0.161,8.428,0.506,0.348,5.753,0.369
三冠王・山田哲人,2.486,-5.947,7.7,2165.685,0.205,5686.29,10.577,0.109,4976.493,10.844,0.183,8.865,0.469,0.326,5.582,0.37
傷は浅いうちに,2.491,9.892,7.178,2144.402,0.208,5668.964,10.822,0.122,4895.034,10.65,0.177,8.946,0.484,0.341,5.926,0.447
gayuny,2.483,32.577,7.159,2158.959,0.212,5869.346,10.724,0.126,5060.96,10.766,0.178,8.822,0.497,0.316,5.579,0.448
d3vdr,2.463,43.629,7.452,2184.236,0.218,5510.894,10.749,0.125,5016.729,10.979,0.166,8.722,0.491,0.348,6.154,0.492
雀荘中川,2.453,67.788,8.022,2201.765,0.21,5902.914,10.754,0.117,4876.18,10.781,0.191,8.846,0.502,0.323,5.759,0.429
もめんなちゃい,2.433,30.594,8.001,2216.428,0.217,5510.994,10.61,0.125,4880.975,10.678,0.17,8.812,0.49,0.335,5.681,0.453
振込太陽,2.476,42.618,7.332,2165.102,0.224,5342.251,10.533,0.124,4824.662,10.549,0.157,8.896,0.482,0.382,5.514,0.423
まーさ＠２１,2.468,48.226,7.862,2168.761,0.206,5671.51,10.555,0.113,4702.753,10.585,0.162,8.79,0.477,0.348,5.666,0.385
らいふがーどすき,2.471,15.832,7.942,2174.608,0.204,5575.138,10.446,0.106,4796.575,10.578,0.159,8.576,0.496,0.344,5.685,0.35
ミスティコ,2.557,-40.334,5.697,2071.094,0.197,6373.116,10.946,0.141,5101.101,10.806,0.189,9.316,0.463,0.329,5.651,0.463
オカルト一色,2.531,-39.747,6.568,2100.797,0.205,5482.775,10.498,0.116,4764.462,10.769,0.165,8.582,0.49,0.314,5.637,0.378
かつどん,2.483,16.269,7.154,2170.631,0.211,5596.387,10.586,0.114,5068.03,10.766,0.184,8.613,0.48,0.373,5.687,0.432
及川冰麗,2.539,-36.419,6.284,2082.561,0.21,5481.179,10.665,0.128,4850.567,10.753,0.162,8.603,0.481,0.376,5.741,0.439
少女ファイト,2.498,-10.924,6.916,2144.323,0.211,5680.679,10.723,0.121,5025.611,10.707,0.181,8.917,0.482,0.31,5.551,0.407
シラ。,2.488,1.774,7.148,2162.575,0.212,5819.372,10.883,0.131,5072.529,10.876,0.203,8.753,0.477,0.332,5.717,0.5
あさぴん＠ｍｊ,2.407,106.261,8.997,2264.039,0.223,5677.329,10.707,0.117,5021.953,10.731,0.193,8.684,0.488,0.352,5.856,0.458
yinner06,2.493,16.152,7.191,2136.195,0.213,5571.876,10.688,0.124,4879.654,10.739,0.175,8.628,0.48,0.352,5.673,0.441
ISSON4,2.476,18.518,7.476,2162.981,0.205,5808.913,10.75,0.118,4879.954,10.603,0.164,8.901,0.485,0.322,5.9,0.407
りめろ,2.515,-44.582,6.889,2115.658,0.213,5294.658,10.508,0.12,4910.512,10.68,0.158,8.709,0.473,0.379,5.555,0.435
もりもりおにぎり,2.443,44.592,8.394,2212.767,0.208,5762.431,10.658,0.108,4988.562,10.714,0.175,8.772,0.489,0.313,5.838,0.393
ロリータな焼肉,2.475,19.645,7.394,2151.045,0.217,5506.968,10.523,0.127,5021.08,10.591,0.178,8.908,0.472,0.405,5.591,0.477
超インターネット,2.426,50.015,8.819,2230.431,0.211,5563.726,10.654,0.111,4875.485,10.667,0.163,8.712,0.508,0.329,5.828,0.396
zelden,2.458,42.642,7.94,2186.382,0.213,5534.775,10.569,0.117,4753.237,10.553,0.172,8.67,0.491,0.343,5.465,0.411
nyasuvi,2.443,76.663,7.931,2221.227,0.213,5951.193,10.758,0.121,5094.651,10.821,0.186,8.998,0.477,0.329,5.857,0.433
鈴侍,2.474,2.163,7.698,2171.03,0.208,5502.007,10.509,0.117,4796.037,10.676,0.158,8.655,0.487,0.391,5.989,0.426
にっちょ,2.492,12.202,7.192,2156.473,0.21,5797.029,10.681,0.119,5155.587,10.733,0.168,8.756,0.491,0.328,5.841,0.411
きみたまご,2.516,-12.954,6.742,2118.922,0.203,5760.06,10.784,0.126,4851.613,10.836,0.148,9.237,0.458,0.375,5.976,0.447
money,2.489,-14.564,7.37,2139.972,0.212,5393.494,10.532,0.118,4855.518,10.658,0.146,8.763,0.501,0.358,5.713,0.39
枝豆カレー甘口,2.475,13.733,7.728,2155.668,0.204,5678.92,10.718,0.118,4818.019,10.667,0.143,8.694,0.505,0.322,6.064,0.409
昼夜,2.51,-12.608,6.808,2137.985,0.217,5702.908,10.653,0.131,5035.663,10.533,0.18,8.917,0.481,0.35,5.542,0.439
たくじろう,2.475,21.648,7.682,2177.889,0.207,5822.825,10.716,0.12,4904.085,10.679,0.169,8.761,0.485,0.346,5.656,0.424
青山羊,2.515,20.991,6.708,2125.324,0.192,6273.873,10.78,0.118,4850.387,10.818,0.144,9.173,0.473,0.367,5.915,0.395
youalpha,2.455,6.09,7.902,2206.055,0.212,5787.628,10.74,0.125,5111.386,10.828,0.189,8.873,0.474,0.357,5.907,0.45
＝伊藤かな恵＝,2.473,27.039,7.642,2168.039,0.223,5233.541,10.452,0.118,4817.588,10.541,0.172,8.637,0.487,0.398,5.523,0.417
